chrom	chromStart	chromEnd	name	score	strand	length	GC	
chr5	149892557	150013207	cp068273_149892558	575	.	120650	50.15	
chr5	150013207	150079599	cp068273_150013208	268	.	66392	39.41	
chr5	150079599	150649036	cp068273_150079600	438	.	569437	45.36	
chr5	150649036	150840027	cp068273_150649037	671	.	190991	53.51	
chr5	150840027	150893302	cp068273_150840028	488	.	53275	47.10	
chr5	150893302	151215772	cp068273_150893303	602	.	322470	51.09	
chr5	151215772	151385635	cp068273_151215773	297	.	169863	40.41	
chr5	151385635	151522944	cp068273_151385636	205	.	137309	37.20	
chr5	151522944	151556779	cp068273_151522945	425	.	33835	44.88	
chr5	151556779	151726571	cp068273_151556780	561	.	169792	49.65	
chr5	151726571	151808941	cp068273_151726572	454	.	82370	45.90	
chr5	151808941	152022342	cp068273_151808942	349	.	213401	42.23	
chr5	152022342	152312121	cp068273_152022343	456	.	289779	45.99	
chr5	152312121	152898326	cp068273_152312122	292	.	586205	40.25	
chr5	152898326	153964859	cp068273_152898327	226	.	1066533	37.92	
chr5	153964859	154369622	cp068273_153964860	322	.	404763	41.30	
chr5	154369622	154413437	cp068273_154369623	199	.	43815	36.97	
chr5	154413437	154486682	cp068273_154413438	316	.	73245	41.07	
chr5	154486682	154523300	cp068273_154486683	441	.	36618	45.46	
chr5	154523300	154601106	cp068273_154523301	231	.	77806	38.11	
chr5	154601106	154886092	cp068273_154601107	383	.	284986	43.43	
chr5	154886092	155433369	cp068273_154886093	458	.	547277	46.06	
chr5	155433369	155877320	cp068273_155433370	320	.	443951	41.20	
chr5	155877320	157397219	cp068273_155877321	245	.	1519899	38.58	
chr5	157397219	158737586	cp068273_157397220	361	.	1340367	42.65	
chr5	158737586	159792788	cp068273_158737587	283	.	1055202	39.92	
chr5	159792788	159822872	cp068273_159792789	164	.	30084	35.77	
chr5	159822872	160343077	cp068273_159822873	328	.	520205	41.51	
chr5	160343077	160526591	cp068273_160343078	405	.	183514	44.20	
chr5	160526591	160642755	cp068273_160526592	319	.	116164	41.18	
chr5	160642755	160902199	cp068273_160642756	496	.	259444	47.39	
chr5	160902199	160957987	cp068273_160902200	254	.	55788	38.89	
chr5	160957987	161176911	cp068273_160957988	355	.	218924	42.46	
chr5	161176911	161609997	cp068273_161176912	273	.	433086	39.57	
chr5	161609997	161769095	cp068273_161609998	196	.	159098	36.89	
chr5	161769095	161843567	cp068273_161769096	281	.	74472	39.84	
chr5	161843567	162662536	cp068273_161843568	151	.	818969	35.30	
chr5	162662536	163651826	cp068273_162662537	186	.	989290	36.52	
chr5	163651826	164200389	cp068273_163651827	249	.	548563	38.72	
chr5	164200389	164488370	cp068273_164200390	206	.	287981	37.23	
chr5	164488370	166408589	cp068273_164488371	164	.	1920219	35.77	
chr5	166408589	167062387	cp068273_166408590	207	.	653798	37.28	
chr5	167062387	167191594	cp068273_167062388	164	.	129207	35.77	
chr5	167191594	167514482	cp068273_167191595	269	.	322888	39.43	
chr5	167514482	168224198	cp068273_167514483	223	.	709716	37.82	
chr5	168224198	168390137	cp068273_168224199	292	.	165939	40.25	
chr5	168390137	168683821	cp068273_168390138	348	.	293684	42.20	
chr5	168683821	168778815	cp068273_168683822	418	.	94994	44.65	
chr5	168778815	168852475	cp068273_168778816	528	.	73660	48.48	
chr5	168852475	168902458	cp068273_168852476	470	.	49983	46.48	
chr5	168902458	168933790	cp068273_168902459	367	.	31332	42.86	
chr5	168933790	168971975	cp068273_168933791	534	.	38185	48.71	
chr5	168971975	169015488	cp068273_168971976	457	.	43513	46.00	
chr5	169015488	169047856	cp068273_169015489	280	.	32368	39.82	
chr5	169047856	169078957	cp068273_169047857	427	.	31101	44.95	
chr5	169078957	169113554	cp068273_169078958	205	.	34597	37.18	
chr5	169113554	169187051	cp068273_169113555	385	.	73497	43.50	
chr5	169187051	169380507	cp068273_169187052	488	.	193456	47.11	
chr5	169380507	169844696	cp068273_169380508	406	.	464189	44.24	
chr5	169844696	170171626	cp068273_169844697	261	.	326930	39.15	
chr5	170171626	170475945	cp068273_170171627	367	.	304319	42.86	
chr5	170475945	170869644	cp068273_170475946	421	.	393699	44.77	
chr5	170869644	171133357	cp068273_170869645	478	.	263713	46.75	
chr5	171133357	171183791	cp068273_171133358	595	.	50434	50.85	
chr5	171183791	171275584	cp068273_171183792	363	.	91793	42.74	
chr5	171275584	171338023	cp068273_171275585	529	.	62439	48.52	
chr5	171338023	171407556	cp068273_171338024	320	.	69533	41.23	
chr5	171407556	171784133	cp068273_171407557	194	.	376577	36.79	
chr5	171784133	171840788	cp068273_171784134	296	.	56655	40.36	
chr5	171840788	171872954	cp068273_171840789	607	.	32166	51.25	
chr5	171872954	171958831	cp068273_171872955	417	.	85877	44.61	
chr5	171958831	171992936	cp068273_171958832	743	.	34105	56.04	
chr5	171992936	172087480	cp068273_171992937	538	.	94544	48.85	
chr5	172087480	172400613	cp068273_172087481	433	.	313133	45.19	
chr5	172400613	172545858	cp068273_172400614	270	.	145245	39.48	
chr5	172545858	172625719	cp068273_172545859	466	.	79861	46.33	
chr5	172625719	172743292	cp068273_172625720	560	.	117573	49.63	
chr5	172743292	172793768	cp068273_172743293	286	.	50476	40.04	
chr5	172793768	172871168	cp068273_172793769	392	.	77400	43.75	
chr5	172871168	173049920	cp068273_172871169	529	.	178752	48.52	
chr5	173049920	173082330	cp068273_173049921	340	.	32410	41.92	
chr5	173082330	173500274	cp068273_173082331	570	.	417944	49.97	
chr5	173500274	173599667	cp068273_173500275	430	.	99393	45.08	
chr5	173599667	173695518	cp068273_173599668	315	.	95851	41.05	
chr5	173695518	173872343	cp068273_173695519	522	.	176825	48.27	
chr5	173872343	174037392	cp068273_173872344	418	.	165049	44.65	
chr5	174037392	174067678	cp068273_174037393	301	.	30286	40.56	
chr5	174067678	174413616	cp068273_174067679	479	.	345938	46.78	
chr5	174413616	174583968	cp068273_174413617	268	.	170352	39.39	
chr5	174583968	174783893	cp068273_174583969	447	.	199925	45.66	
chr5	174783893	174816601	cp068273_174783894	253	.	32708	38.89	
chr5	174816601	174886453	cp068273_174816602	490	.	69852	47.17	
chr5	174886453	175029173	cp068273_174886454	352	.	142720	42.34	
chr5	175029173	175231089	cp068273_175029174	410	.	201916	44.36	
chr5	175231089	175318076	cp068273_175231090	484	.	86987	46.97	
chr5	175318076	176113208	cp068273_175318077	349	.	795132	42.23	
chr5	176113208	176299017	cp068273_176113209	510	.	185809	47.87	
chr5	176299017	176339970	cp068273_176299018	356	.	40953	42.47	
chr5	176339970	176458552	cp068273_176339971	600	.	118582	51.01	
chr5	176458552	176902781	cp068273_176458553	399	.	444229	43.99	
chr5	176902781	176961878	cp068273_176902782	613	.	59097	51.48	
chr5	176961878	177072097	cp068273_176961879	411	.	110219	44.41	
chr5	177072097	177296392	cp068273_177072098	692	.	224295	54.25	
chr5	177296392	177356005	cp068273_177296393	505	.	59613	47.70	
chr5	177356005	177446817	cp068273_177356006	783	.	90812	57.44	
chr5	177446817	177525899	cp068273_177446818	287	.	79082	40.05	
chr5	177525899	177620879	cp068273_177525900	452	.	94980	45.83	
chr5	177620879	177678232	cp068273_177620880	704	.	57353	54.66	
chr5	177678232	177726289	cp068273_177678233	392	.	48057	43.73	
chr5	177726289	177836908	cp068273_177726290	309	.	110619	40.82	
chr5	177836908	177969114	cp068273_177836909	657	.	132206	53.00	
chr5	177969114	178075869	cp068273_177969115	804	.	106755	58.16	
chr5	178075869	178156387	cp068273_178075870	547	.	80518	49.15	
chr5	178156387	178473317	cp068273_178156388	383	.	316930	43.43	
chr5	178473317	178772511	cp068273_178473318	554	.	299194	49.42	
chr5	178772511	178950717	cp068273_178772512	670	.	178206	53.46	
chr5	178950717	179145320	cp068273_178950718	524	.	194603	48.36	
chr5	179145320	179177169	cp068273_179145321	213	.	31849	37.49	
chr5	179177169	179434617	cp068273_179177170	454	.	257448	45.92	
chr5	179434617	179521027	cp068273_179434618	356	.	86410	42.49	
chr5	179521027	179555630	cp068273_179521028	649	.	34603	52.74	
chr5	179555630	179664378	cp068273_179555631	322	.	108748	41.30	
chr5	179664378	179934341	cp068273_179664379	686	.	269963	54.03	
chr5	179934341	180347033	cp068273_179934342	525	.	412692	48.39	
chr5	180347033	180377150	cp068273_180347034	883	.	30117	60.92	
chr5	180377150	180475147	cp068273_180377151	636	.	97997	52.26	
chr5	180475147	180626119	cp068273_180475148	345	.	150972	42.10	
chr5	180626119	181051092	cp068273_180626120	550	.	424973	49.25	
chr5	181051092	181098452	cp068273_181051093	380	.	47360	43.32	
chr5	181098452	181145829	cp068273_181098453	292	.	47377	40.24	
chr5	181145829	181206571	cp068273_181145830	864	.	60742	60.24	
chr5	181206571	181241917	cp068273_181206572	500	.	35346	47.52	
chr5	181241917	181294339	cp068273_181241918	231	.	52422	38.10	
chr5	181294339	181336398	cp068273_181294340	317	.	42059	41.11	
chr5	181336398	181368430	cp068273_181336399	611	.	32032	51.40	
chr5	181368430	181433227	cp068273_181368431	399	.	64797	43.98	
chr5	181433227	181588150	cp068273_181433228	306	.	154923	40.73	
chr5	181588150	181895578	cp068273_181588151	536	.	307428	48.76	
chr5	181895578	181974561	cp068273_181895579	205	.	78983	37.20	
